"DATE","TIME PERIOD","Chinese yuan renminbi/Euro (EXR.D.CNY.EUR.SP00.A)","UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A)"
"2004-07-28","28 Jul 2004","9.9688","0.66165"
"2004-07-29","29 Jul 2004","9.9564","0.66300"
"2004-07-30","30 Jul 2004","9.9663","0.66255"
"2004-08-02","02 Aug 2004","9.9655","0.66005"
"2004-08-03","03 Aug 2004","9.9779","0.66070"
"2004-08-04","04 Aug 2004","9.9514","0.65960"
"2004-08-05","05 Aug 2004","9.9175","0.66120"
"2004-08-06","06 Aug 2004","9.9879","0.66190"
"2004-08-09","09 Aug 2004","10.1484","0.66605"
"2004-08-10","10 Aug 2004","10.1625","0.66920"
"2004-08-11","11 Aug 2004","10.1294","0.66900"
"2004-08-12","12 Aug 2004","10.1459","0.66950"
"2004-08-13","13 Aug 2004","10.1120","0.67010"
"2004-08-16","16 Aug 2004","10.2122","0.67020"
"2004-08-17","17 Aug 2004","10.2105","0.67130"
"2004-08-18","18 Aug 2004","10.2047","0.67485"
"2004-08-19","19 Aug 2004","10.2370","0.67655"
"2004-08-20","20 Aug 2004","10.1807","0.67430"
"2004-08-23","23 Aug 2004","10.1749","0.67440"
"2004-08-24","24 Aug 2004","10.0475","0.67250"
"2004-08-25","25 Aug 2004","10.0475","0.67270"
"2004-08-26","26 Aug 2004","10.0003","0.67320"
"2004-08-27","27 Aug 2004","10.0152","0.67180"
"2004-08-30","30 Aug 2004","9.9713","0.67260"
"2004-08-31","31 Aug 2004","10.0250","0.67550"
"2004-09-01","01 Sep 2004","10.0720","0.67775"
"2004-09-02","02 Sep 2004","10.0781","0.67910"
"2004-09-03","03 Sep 2004","10.0748","0.67990"
"2004-09-06","06 Sep 2004","9.9928","0.67820"
"2004-09-07","07 Sep 2004","9.9986","0.68115"
"2004-09-08","08 Sep 2004","9.9630","0.67880"
"2004-09-09","09 Sep 2004","10.0905","0.68280"
"2004-09-10","10 Sep 2004","10.1161","0.68320"
"2004-09-13","13 Sep 2004","10.1261","0.68010"
"2004-09-14","14 Sep 2004","10.1294","0.68135"
"2004-09-15","15 Sep 2004","10.1286","0.68480"
"2004-09-16","16 Sep 2004","10.0665","0.67980"
"2004-09-17","17 Sep 2004","10.1095","0.68010"
"2004-09-20","20 Sep 2004","10.0417","0.68040"
"2004-09-21","21 Sep 2004","10.1608","0.68335"
"2004-09-22","22 Sep 2004","10.1360","0.68345"
"2004-09-23","23 Sep 2004","10.1915","0.68375"
"2004-09-24","24 Sep 2004","10.1882","0.68315"
"2004-09-27","27 Sep 2004","10.1443","0.67870"
"2004-09-28","28 Sep 2004","10.2130","0.68010"
"2004-09-29","29 Sep 2004","10.1997","0.68180"
"2004-09-30","30 Sep 2004","10.2726","0.68680"
"2004-10-01","01 Oct 2004","10.2726","0.69095"
"2004-10-04","04 Oct 2004","10.1832","0.68855"
"2004-10-05","05 Oct 2004","10.1873","0.68960"
"2004-10-06","06 Oct 2004","10.1691","0.68950"
"2004-10-07","07 Oct 2004","10.1757","0.69055"
"2004-10-08","08 Oct 2004","10.1956","0.68910"
"2004-10-11","11 Oct 2004","10.2577","0.69030"
"2004-10-12","12 Oct 2004","10.1931","0.68890"
"2004-10-13","13 Oct 2004","10.1551","0.68625"
"2004-10-14","14 Oct 2004","10.2453","0.68760"
"2004-10-15","15 Oct 2004","10.2767","0.68945"
"2004-10-18","18 Oct 2004","10.3247","0.69185"
"2004-10-19","19 Oct 2004","10.3520","0.69430"
"2004-10-20","20 Oct 2004","10.4224","0.69630"
"2004-10-21","21 Oct 2004","10.4365","0.69005"
"2004-10-22","22 Oct 2004","10.4530","0.69100"
"2004-10-25","25 Oct 2004","10.5855","0.69455"
"2004-10-26","26 Oct 2004","10.5830","0.69555"
"2004-10-27","27 Oct 2004","10.5871","0.69455"
"2004-10-28","28 Oct 2004","10.5871","0.69570"
"2004-10-29","29 Oct 2004","10.5449","0.69565"
"2004-11-01","01 Nov 2004","10.5540","0.69580"
"2004-11-02","02 Nov 2004","10.5168","0.69160"
"2004-11-03","03 Nov 2004","10.5581","0.69190"
"2004-11-04","04 Nov 2004","10.6508","0.69660"
"2004-11-05","05 Nov 2004","10.6442","0.69775"
"2004-11-08","08 Nov 2004","10.6914","0.69695"
"2004-11-09","09 Nov 2004","10.6881","0.69625"
"2004-11-10","10 Nov 2004","10.7386","0.69870"
"2004-11-11","11 Nov 2004","10.6724","0.70020"
"2004-11-12","12 Nov 2004","10.6939","0.70060"
"2004-11-15","15 Nov 2004","10.7204","0.69890"
"2004-11-16","16 Nov 2004","10.7394","0.69955"
"2004-11-17","17 Nov 2004","10.7833","0.70135"
"2004-11-18","18 Nov 2004","10.7800","0.70250"
"2004-11-19","19 Nov 2004","10.7767","0.70120"
"2004-11-22","22 Nov 2004","10.7891","0.70255"
"2004-11-23","23 Nov 2004","10.8296","0.69950"
"2004-11-24","24 Nov 2004","10.8834","0.69985"
"2004-11-25","25 Nov 2004","10.9397","0.70060"
"2004-11-26","26 Nov 2004","10.9596","0.69970"
"2004-11-29","29 Nov 2004","10.9612","0.70100"
"2004-11-30","30 Nov 2004","11.0084","0.69660"
"2004-12-01","01 Dec 2004","11.0018","0.69155"
"2004-12-02","02 Dec 2004","11.0225","0.68905"
"2004-12-03","03 Dec 2004","11.0101","0.69010"
"2004-12-06","06 Dec 2004","11.1268","0.69180"
"2004-12-07","07 Dec 2004","11.1425","0.69060"
"2004-12-08","08 Dec 2004","11.0208","0.68950"
"2004-12-09","09 Dec 2004","11.0059","0.69190"
"2004-12-10","10 Dec 2004","10.9207","0.69120"
"2004-12-13","13 Dec 2004","10.9852","0.69225"
"2004-12-14","14 Dec 2004","11.0241","0.69150"
"2004-12-15","15 Dec 2004","11.0233","0.69115"
"2004-12-16","16 Dec 2004","11.0986","0.68630"
"2004-12-17","17 Dec 2004","10.9819","0.68585"
"2004-12-20","20 Dec 2004","11.0730","0.68740"
"2004-12-21","21 Dec 2004","11.0862","0.69230"
"2004-12-22","22 Dec 2004","11.0779","0.69905"
"2004-12-23","23 Dec 2004","11.1375","0.70130"
"2004-12-24","24 Dec 2004","11.2087","0.70330"
"2004-12-27","27 Dec 2004","11.1963","0.70360"
"2004-12-28","28 Dec 2004","11.2840","0.70315"
"2004-12-29","29 Dec 2004","11.2633","0.70830"
"2004-12-30","30 Dec 2004","11.2600","0.70880"
"2004-12-31","31 Dec 2004","11.2741","0.70505"
"2005-01-03","03 Jan 2005","11.1797","0.70725"
"2005-01-04","04 Jan 2005","11.0622","0.70620"
"2005-01-05","05 Jan 2005","10.9455","0.70485"
"2005-01-06","06 Jan 2005","10.9116","0.70390"
"2005-01-07","07 Jan 2005","10.9256","0.70280"
"2005-01-10","10 Jan 2005","10.8454","0.69780"
"2005-01-11","11 Jan 2005","10.8785","0.70010"
"2005-01-12","12 Jan 2005","10.8752","0.69990"
"2005-01-13","13 Jan 2005","10.9521","0.70300"
"2005-01-14","14 Jan 2005","10.8354","0.70060"
"2005-01-17","17 Jan 2005","10.8305","0.70310"
"2005-01-18","18 Jan 2005","10.8098","0.69780"
"2005-01-19","19 Jan 2005","10.8288","0.69655"
"2005-01-20","20 Jan 2005","10.7071","0.69330"
"2005-01-21","21 Jan 2005","10.7295","0.69530"
"2005-01-24","24 Jan 2005","10.8139","0.69560"
"2005-01-25","25 Jan 2005","10.7808","0.69560"
"2005-01-26","26 Jan 2005","10.7642","0.69270"
"2005-01-27","27 Jan 2005","10.7816","0.69190"
"2005-01-28","28 Jan 2005","10.7891","0.69255"
"2005-01-31","31 Jan 2005","10.7891","0.69120"
"2005-02-01","01 Feb 2005","10.7824","0.69255"
"2005-02-02","02 Feb 2005","10.8106","0.69230"
"2005-02-03","03 Feb 2005","10.7609","0.68940"
"2005-02-04","04 Feb 2005","10.7253","0.68830"
"2005-02-07","07 Feb 2005","10.6310","0.68670"
"2005-02-08","08 Feb 2005","10.5648","0.68760"
"2005-02-09","09 Feb 2005","10.5631","0.68580"
"2005-02-10","10 Feb 2005","10.5755","0.68825"
"2005-02-11","11 Feb 2005","10.6401","0.68970"
"2005-02-14","14 Feb 2005","10.7328","0.68730"
"2005-02-15","15 Feb 2005","10.7733","0.68850"
"2005-02-16","16 Feb 2005","10.7932","0.69135"
"2005-02-17","17 Feb 2005","10.7940","0.69120"
"2005-02-18","18 Feb 2005","10.7924","0.68910"
"2005-02-21","21 Feb 2005","10.8056","0.68910"
"2005-02-22","22 Feb 2005","10.9198","0.69130"
"2005-02-23","23 Feb 2005","10.9281","0.69170"
"2005-02-24","24 Feb 2005","10.9753","0.69395"
"2005-02-25","25 Feb 2005","10.8967","0.68975"
"2005-02-28","28 Feb 2005","10.9728","0.68975"
"2005-03-01","01 Mar 2005","10.9389","0.68790"
"2005-03-02","02 Mar 2005","10.8437","0.68590"
"2005-03-03","03 Mar 2005","10.8793","0.68780"
"2005-03-04","04 Mar 2005","10.8553","0.68760"
"2005-03-07","07 Mar 2005","10.9232","0.68960"
"2005-03-08","08 Mar 2005","10.9637","0.68890"
"2005-03-09","09 Mar 2005","11.0465","0.69385"
"2005-03-10","10 Mar 2005","11.0986","0.69645"
"2005-03-11","11 Mar 2005","11.1044","0.69865"
"2005-03-14","14 Mar 2005","11.0680","0.69740"
"2005-03-15","15 Mar 2005","11.0771","0.69620"
"2005-03-16","16 Mar 2005","11.0688","0.69600"
"2005-03-17","17 Mar 2005","11.0730","0.69590"
"2005-03-18","18 Mar 2005","10.9910","0.69345"
"2005-03-21","21 Mar 2005","10.9248","0.69410"
"2005-03-22","22 Mar 2005","10.9049","0.69410"
"2005-03-23","23 Mar 2005","10.8015","0.69460"
"2005-03-24","24 Mar 2005","10.7452","0.69440"
"2005-03-25","25 Mar 2005"
"2005-03-28","28 Mar 2005"
"2005-03-29","29 Mar 2005","10.6989","0.68995"
"2005-03-30","30 Mar 2005","10.7129","0.68770"
"2005-03-31","31 Mar 2005","10.7303","0.68850"
"2005-04-01","01 Apr 2005","10.7255","0.68665"
"2005-04-04","04 Apr 2005","10.6626","0.68700"
"2005-04-05","05 Apr 2005","10.6022","0.68410"
"2005-04-06","06 Apr 2005","10.6436","0.68505"
"2005-04-07","07 Apr 2005","10.6957","0.68740"
"2005-04-08","08 Apr 2005","10.6096","0.68590"
"2005-04-11","11 Apr 2005","10.7354","0.68640"
"2005-04-12","12 Apr 2005","10.7470","0.68540"
"2005-04-13","13 Apr 2005","10.6949","0.68335"
"2005-04-14","14 Apr 2005","10.6105","0.68135"
"2005-04-15","15 Apr 2005","10.6502","0.68200"
"2005-04-18","18 Apr 2005","10.7321","0.68320"
"2005-04-19","19 Apr 2005","10.7561","0.68070"
"2005-04-20","20 Apr 2005","10.8000","0.68130"
"2005-04-21","21 Apr 2005","10.8075","0.68475"
"2005-04-22","22 Apr 2005","10.8232","0.68285"
"2005-04-25","25 Apr 2005","10.7313","0.67865"
"2005-04-26","26 Apr 2005","10.7437","0.68115"
"2005-04-27","27 Apr 2005","10.6932","0.67960"
"2005-04-28","28 Apr 2005","10.6808","0.67730"
"2005-04-29","29 Apr 2005","10.7239","0.67750"
"2005-05-02","02 May 2005","10.6461","0.67625"
"2005-05-03","03 May 2005","10.6403","0.67995"
"2005-05-04","04 May 2005","10.7206","0.68175"
"2005-05-05","05 May 2005","10.7214","0.68070"
"2005-05-06","06 May 2005","10.7156","0.68205"
"2005-05-09","09 May 2005","10.6138","0.68150"
"2005-05-10","10 May 2005","10.6386","0.68280"
"2005-05-11","11 May 2005","10.6618","0.68410"
"2005-05-12","12 May 2005","10.5699","0.68330"
"2005-05-13","13 May 2005","10.4574","0.68015"
"2005-05-16","16 May 2005","10.4416","0.68690"
"2005-05-17","17 May 2005","10.4582","0.68735"
"2005-05-18","18 May 2005","10.4458","0.68835"
"2005-05-19","19 May 2005","10.4632","0.68720"
"2005-05-20","20 May 2005","10.4342","0.68715"
"2005-05-23","23 May 2005","10.3854","0.68630"
"2005-05-24","24 May 2005","10.4425","0.68765"
"2005-05-25","25 May 2005","10.3986","0.68785"
"2005-05-26","26 May 2005","10.3647","0.68740"
"2005-05-27","27 May 2005","10.3878","0.68710"
"2005-05-30","30 May 2005","10.3225","0.68495"
"2005-05-31","31 May 2005","10.2058","0.67710"
"2005-06-01","01 Jun 2005","10.1205","0.67545"
"2005-06-02","02 Jun 2005","10.1495","0.67535"
"2005-06-03","03 Jun 2005","10.1710","0.67570"
"2005-06-06","06 Jun 2005","10.1569","0.67480"
"2005-06-07","07 Jun 2005","10.1677","0.67155"
"2005-06-08","08 Jun 2005","10.2000","0.67095"
"2005-06-09","09 Jun 2005","10.1296","0.67130"
"2005-06-10","10 Jun 2005","10.1213","0.67040"
"2005-06-13","13 Jun 2005","9.9831","0.66830"
"2005-06-14","14 Jun 2005","10.0228","0.66950"
"2005-06-15","15 Jun 2005","9.9889","0.66670"
"2005-06-16","16 Jun 2005","10.0270","0.66465"
"2005-06-17","17 Jun 2005","10.0783","0.66780"
"2005-06-20","20 Jun 2005","10.1056","0.66855"
"2005-06-21","21 Jun 2005","10.0079","0.66450"
"2005-06-22","22 Jun 2005","10.0237","0.66515"
"2005-06-23","23 Jun 2005","9.9864","0.66240"
"2005-06-24","24 Jun 2005","9.9997","0.66300"
"2005-06-27","27 Jun 2005","10.0675","0.66510"
"2005-06-28","28 Jun 2005","10.0104","0.66460"
"2005-06-29","29 Jun 2005","9.9765","0.66690"
"2005-06-30","30 Jun 2005","10.0079","0.67420"
"2005-07-01","01 Jul 2005","10.0038","0.67900"
"2005-07-04","04 Jul 2005","9.8441","0.67645"
"2005-07-05","05 Jul 2005","9.8350","0.67735"
"2005-07-06","06 Jul 2005","9.8598","0.67850"
"2005-07-07","07 Jul 2005","9.8962","0.68510"
"2005-07-08","08 Jul 2005","9.8523","0.68630"
"2005-07-11","11 Jul 2005","9.9368","0.68800"
"2005-07-12","12 Jul 2005","10.0692","0.68815"
"2005-07-13","13 Jul 2005","10.0841","0.68990"
"2005-07-14","14 Jul 2005","9.9873","0.68645"
"2005-07-15","15 Jul 2005","9.9922","0.68620"
"2005-07-18","18 Jul 2005","9.9765","0.68995"
"2005-07-19","19 Jul 2005","9.9029","0.68785"
"2005-07-20","20 Jul 2005","9.9840","0.69430"
"2005-07-21","21 Jul 2005","9.8836","0.69600"
"2005-07-22","22 Jul 2005","9.8493","0.69510"
"2005-07-25","25 Jul 2005","9.7843","0.69440"
"2005-07-26","26 Jul 2005","9.7213","0.68955"
"2005-07-27","27 Jul 2005","9.7272","0.69030"
"2005-07-28","28 Jul 2005","9.8107","0.69070"
"2005-07-29","29 Jul 2005","9.8021","0.68930"
"2005-08-01","01 Aug 2005","9.9030","0.69140"
"2005-08-02","02 Aug 2005","9.8997","0.68930"
"2005-08-03","03 Aug 2005","9.9758","0.69110"
"2005-08-04","04 Aug 2005","9.9817","0.69385"
"2005-08-05","05 Aug 2005","10.0372","0.69560"
"2005-08-08","08 Aug 2005","10.0308","0.69160"
"2005-08-09","09 Aug 2005","10.0259","0.69290"
"2005-08-10","10 Aug 2005","10.0330","0.69035"
"2005-08-11","11 Aug 2005","10.0483","0.68825"
"2005-08-12","12 Aug 2005","10.0877","0.68675"
"2005-08-15","15 Aug 2005","10.0194","0.68360"
"2005-08-16","16 Aug 2005","9.9738","0.68145"
"2005-08-17","17 Aug 2005","9.9594","0.67930"
"2005-08-18","18 Aug 2005","9.8934","0.67755"
"2005-08-19","19 Aug 2005","9.8740","0.67840"
"2005-08-22","22 Aug 2005","9.9140","0.67815"
"2005-08-23","23 Aug 2005","9.9102","0.68020"
"2005-08-24","24 Aug 2005","9.8915","0.68035"
"2005-08-25","25 Aug 2005","9.9406","0.68200"
"2005-08-26","26 Aug 2005","9.9644","0.68185"
"2005-08-29","29 Aug 2005","9.9484","0.68160"
"2005-08-30","30 Aug 2005","9.8633","0.68275"
"2005-08-31","31 Aug 2005","9.8801","0.68290"
"2005-09-01","01 Sep 2005","10.0280","0.68335"
"2005-09-02","02 Sep 2005","10.1501","0.68180"
"2005-09-05","05 Sep 2005","10.1452","0.67855"
"2005-09-06","06 Sep 2005","10.1004","0.67670"
"2005-09-07","07 Sep 2005","10.0760","0.67710"
"2005-09-08","08 Sep 2005","10.0518","0.67620"
"2005-09-09","09 Sep 2005","10.0507","0.67535"
"2005-09-12","12 Sep 2005","9.9641","0.67435"
"2005-09-13","13 Sep 2005","9.9362","0.67410"
"2005-09-14","14 Sep 2005","9.9635","0.67340"
"2005-09-15","15 Sep 2005","9.8868","0.67650"
"2005-09-16","16 Sep 2005","9.9010","0.67650"
"2005-09-19","19 Sep 2005","9.8214","0.67280"
"2005-09-20","20 Sep 2005","9.8314","0.67340"
"2005-09-21","21 Sep 2005","9.8914","0.67505"
"2005-09-22","22 Sep 2005","9.8869","0.67870"
"2005-09-23","23 Sep 2005","9.8047","0.67850"
"2005-09-26","26 Sep 2005","9.7366","0.67895"
"2005-09-27","27 Sep 2005","9.7144","0.68025"
"2005-09-28","28 Sep 2005","9.7426","0.68100"
"2005-09-29","29 Sep 2005","9.7626","0.68260"
"2005-09-30","30 Sep 2005","9.7444","0.68195"
"2005-10-03","03 Oct 2005","9.6562","0.68000"
"2005-10-04","04 Oct 2005","9.6602","0.67860"
"2005-10-05","05 Oct 2005","9.6675","0.67790"
"2005-10-06","06 Oct 2005","9.7598","0.68175"
"2005-10-07","07 Oct 2005","9.8269","0.68700"
"2005-10-10","10 Oct 2005","9.7748","0.68825"
"2005-10-11","11 Oct 2005","9.7233","0.68650"
"2005-10-12","12 Oct 2005","9.7139","0.68650"
"2005-10-13","13 Oct 2005","9.6900","0.68490"
"2005-10-14","14 Oct 2005","9.7067","0.68540"
"2005-10-17","17 Oct 2005","9.7230","0.68460"
"2005-10-18","18 Oct 2005","9.6582","0.68415"
"2005-10-19","19 Oct 2005","9.6704","0.68005"
"2005-10-20","20 Oct 2005","9.6706","0.67670"
"2005-10-21","21 Oct 2005","9.7159","0.67710"
"2005-10-24","24 Oct 2005","9.6646","0.67590"
"2005-10-25","25 Oct 2005","9.7219","0.67665"
"2005-10-26","26 Oct 2005","9.7518","0.67980"
"2005-10-27","27 Oct 2005","9.8086","0.67940"
"2005-10-28","28 Oct 2005","9.8124","0.68090"
"2005-10-31","31 Oct 2005","9.7200","0.67665"
"2005-11-01","01 Nov 2005","9.7097","0.67900"
"2005-11-02","02 Nov 2005","9.6957","0.67895"
"2005-11-03","03 Nov 2005","9.7341","0.67825"
"2005-11-04","04 Nov 2005","9.6485","0.67640"
"2005-11-07","07 Nov 2005","9.5629","0.67655"
"2005-11-08","08 Nov 2005","9.4946","0.67610"
"2005-11-09","09 Nov 2005","9.4910","0.67530"
"2005-11-10","10 Nov 2005","9.5092","0.67290"
"2005-11-11","11 Nov 2005","9.4577","0.67310"
"2005-11-14","14 Nov 2005","9.4677","0.67285"
"2005-11-15","15 Nov 2005","9.4322","0.67320"
"2005-11-16","16 Nov 2005","9.4391","0.67690"
"2005-11-17","17 Nov 2005","9.4524","0.67950"
"2005-11-18","18 Nov 2005","9.4404","0.68150"
"2005-11-21","21 Nov 2005","9.5472","0.68675"
"2005-11-22","22 Nov 2005","9.4590","0.68465"
"2005-11-23","23 Nov 2005","9.5169","0.68460"
"2005-11-24","24 Nov 2005","9.5213","0.68345"
"2005-11-25","25 Nov 2005","9.5063","0.68340"
"2005-11-28","28 Nov 2005","9.4775","0.68550"
"2005-11-29","29 Nov 2005","9.5283","0.68430"
"2005-11-30","30 Nov 2005","9.5098","0.68215"
"2005-12-01","01 Dec 2005","9.4897","0.67980"
"2005-12-02","02 Dec 2005","9.4519","0.67745"
"2005-12-05","05 Dec 2005","9.5087","0.67730"
"2005-12-06","06 Dec 2005","9.5183","0.67905"
"2005-12-07","07 Dec 2005","9.4583","0.67690"
"2005-12-08","08 Dec 2005","9.5030","0.67495"
"2005-12-09","09 Dec 2005","9.5182","0.67320"
"2005-12-12","12 Dec 2005","9.6318","0.67430"
"2005-12-13","13 Dec 2005","9.6296","0.67425"
"2005-12-14","14 Dec 2005","9.7057","0.67830"
"2005-12-15","15 Dec 2005","9.6880","0.67670"
"2005-12-16","16 Dec 2005","9.6745","0.67745"
"2005-12-19","19 Dec 2005","9.6690","0.67960"
"2005-12-20","20 Dec 2005","9.6525","0.67820"
"2005-12-21","21 Dec 2005","9.5884","0.67895"
"2005-12-22","22 Dec 2005","9.5492","0.68100"
"2005-12-23","23 Dec 2005","9.5776","0.68340"
"2005-12-26","26 Dec 2005"
"2005-12-27","27 Dec 2005","9.5693","0.68295"
"2005-12-28","28 Dec 2005","9.6192","0.68630"
"2005-12-29","29 Dec 2005","9.5438","0.68830"
"2005-12-30","30 Dec 2005","9.5204","0.68530"
"2006-01-02","02 Jan 2006","9.5438","0.68650"
"2006-01-03","03 Jan 2006","9.5834","0.68725"
"2006-01-04","04 Jan 2006","9.7512","0.68815"
"2006-01-05","05 Jan 2006","9.7524","0.68880"
"2006-01-06","06 Jan 2006","9.7560","0.68880"
"2006-01-09","09 Jan 2006","9.7427","0.68340"
"2006-01-10","10 Jan 2006","9.7346","0.68330"
"2006-01-11","11 Jan 2006","9.7556","0.68840"
"2006-01-12","12 Jan 2006","9.7734","0.68460"
"2006-01-13","13 Jan 2006","9.7144","0.68140"
"2006-01-16","16 Jan 2006","9.7711","0.68545"
"2006-01-17","17 Jan 2006","9.7416","0.68535"
"2006-01-18","18 Jan 2006","9.7854","0.68640"
"2006-01-19","19 Jan 2006","9.7413","0.68785"
"2006-01-20","20 Jan 2006","9.7326","0.68525"
"2006-01-23","23 Jan 2006","9.9008","0.68780"
"2006-01-24","24 Jan 2006","9.8943","0.68780"
"2006-01-25","25 Jan 2006","9.9127","0.68670"
"2006-01-26","26 Jan 2006","9.8792","0.68590"
"2006-01-27","27 Jan 2006","9.8116","0.68460"
"2006-01-30","30 Jan 2006","9.7391","0.68365"
"2006-01-31","31 Jan 2006","9.7681","0.68430"
"2006-02-01","01 Feb 2006","9.7471","0.68060"
"2006-02-02","02 Feb 2006","9.7262","0.67880"
"2006-02-03","03 Feb 2006","9.7221","0.67910"
"2006-02-06","06 Feb 2006","9.6519","0.68330"
"2006-02-07","07 Feb 2006","9.6462","0.68590"
"2006-02-08","08 Feb 2006","9.6235","0.68610"
"2006-02-09","09 Feb 2006","9.6444","0.68810"
"2006-02-10","10 Feb 2006","9.6378","0.68390"
"2006-02-13","13 Feb 2006","9.5665","0.68370"
"2006-02-14","14 Feb 2006","9.5752","0.68580"
"2006-02-15","15 Feb 2006","9.5805","0.68350"
"2006-02-16","16 Feb 2006","9.5451","0.68425"
"2006-02-17","17 Feb 2006","9.5489","0.68390"
"2006-02-20","20 Feb 2006","9.6032","0.68480"
"2006-02-21","21 Feb 2006","9.5825","0.68210"
"2006-02-22","22 Feb 2006","9.5590","0.68280"
"2006-02-23","23 Feb 2006","9.6242","0.68185"
"2006-02-24","24 Feb 2006","9.5682","0.68030"
"2006-02-27","27 Feb 2006","9.5314","0.68105"
"2006-02-28","28 Feb 2006","9.5493","0.67960"
"2006-03-01","01 Mar 2006","9.6098","0.68060"
"2006-03-02","02 Mar 2006","9.5838","0.68310"
"2006-03-03","03 Mar 2006","9.6617","0.68500"
"2006-03-06","06 Mar 2006","9.6595","0.68550"
"2006-03-07","07 Mar 2006","9.5810","0.68580"
"2006-03-08","08 Mar 2006","9.5878","0.68605"
"2006-03-09","09 Mar 2006","9.5932","0.68580"
"2006-03-10","10 Mar 2006","9.5938","0.68620"
"2006-03-13","13 Mar 2006","9.5976","0.69015"
"2006-03-14","14 Mar 2006","9.6152","0.68855"
"2006-03-15","15 Mar 2006","9.6675","0.68920"
"2006-03-16","16 Mar 2006","9.6974","0.69085"
"2006-03-17","17 Mar 2006","9.7828","0.69450"
"2006-03-20","20 Mar 2006","9.7696","0.69370"
"2006-03-21","21 Mar 2006","9.7482","0.69420"
"2006-03-22","22 Mar 2006","9.6921","0.69140"
"2006-03-23","23 Mar 2006","9.6797","0.69175"
"2006-03-24","24 Mar 2006","9.6157","0.69080"
"2006-03-27","27 Mar 2006","9.6495","0.68830"
"2006-03-28","28 Mar 2006","9.6928","0.69070"
"2006-03-29","29 Mar 2006","9.6432","0.69185"
"2006-03-30","30 Mar 2006","9.7095","0.69460"
"2006-03-31","31 Mar 2006","9.7038","0.69640"
"2006-04-03","03 Apr 2006","9.6757","0.69770"
"2006-04-04","04 Apr 2006","9.7973","0.69835"
"2006-04-05","05 Apr 2006","9.8238","0.70060"
"2006-04-06","06 Apr 2006","9.8617","0.70055"
"2006-04-07","07 Apr 2006","9.7590","0.69645"
"2006-04-10","10 Apr 2006","9.6840","0.69380"
"2006-04-11","11 Apr 2006","9.6973","0.69390"
"2006-04-12","12 Apr 2006","9.7146","0.69165"
"2006-04-13","13 Apr 2006","9.7052","0.69030"
"2006-04-14","14 Apr 2006"
"2006-04-17","17 Apr 2006"
"2006-04-18","18 Apr 2006","9.8188","0.69150"
"2006-04-19","19 Apr 2006","9.8926","0.69135"
"2006-04-20","20 Apr 2006","9.8924","0.69240"
"2006-04-21","21 Apr 2006","9.8779","0.69245"
"2006-04-24","24 Apr 2006","9.9149","0.69190"
"2006-04-25","25 Apr 2006","9.9599","0.69440"
"2006-04-26","26 Apr 2006","9.9673","0.69600"
"2006-04-27","27 Apr 2006","9.9566","0.69580"
"2006-04-28","28 Apr 2006","10.0503","0.69420"
"2006-05-01","01 May 2006"
"2006-05-02","02 May 2006","10.1353","0.68865"
"2006-05-03","03 May 2006","10.1184","0.68690"
"2006-05-04","04 May 2006","10.0944","0.68400"
"2006-05-05","05 May 2006","10.1713","0.68680"
"2006-05-08","08 May 2006","10.2137","0.68460"
"2006-05-09","09 May 2006","10.1659","0.68350"
"2006-05-10","10 May 2006","10.2293","0.68610"
"2006-05-11","11 May 2006","10.1807","0.68240"
"2006-05-12","12 May 2006","10.3418","0.68080"
"2006-05-15","15 May 2006","10.2585","0.68120"
"2006-05-16","16 May 2006","10.2728","0.68110"
"2006-05-17","17 May 2006","10.3133","0.67930"
"2006-05-18","18 May 2006","10.2390","0.67755"
"2006-05-19","19 May 2006","10.2328","0.68010"
"2006-05-22","22 May 2006","10.2312","0.68030"
"2006-05-23","23 May 2006","10.2954","0.68210"
"2006-05-24","24 May 2006","10.3104","0.68285"
"2006-05-25","25 May 2006","10.2382","0.68315"
"2006-05-26","26 May 2006","10.2652","0.68500"
"2006-05-29","29 May 2006","10.2424","0.68550"
"2006-05-30","30 May 2006","10.3077","0.68470"
"2006-05-31","31 May 2006","10.3186","0.68590"
"2006-06-01","01 Jun 2006","10.2155","0.68470"
"2006-06-02","02 Jun 2006","10.2794","0.68685"
"2006-06-05","05 Jun 2006","10.3788","0.68840"
"2006-06-06","06 Jun 2006","10.2966","0.68870"
"2006-06-07","07 Jun 2006","10.2527","0.68780"
"2006-06-08","08 Jun 2006","10.2102","0.69030"
"2006-06-09","09 Jun 2006","10.1500","0.68685"
"2006-06-12","12 Jun 2006","10.0778","0.68240"
"2006-06-13","13 Jun 2006","10.0668","0.68335"
"2006-06-14","14 Jun 2006","10.0568","0.68265"
"2006-06-15","15 Jun 2006","10.0879","0.68225"
"2006-06-16","16 Jun 2006","10.1178","0.68290"
"2006-06-19","19 Jun 2006","10.0751","0.68175"
"2006-06-20","20 Jun 2006","10.0413","0.68240"
"2006-06-21","21 Jun 2006","10.1043","0.68550"
"2006-06-22","22 Jun 2006","10.0625","0.68735"
"2006-06-23","23 Jun 2006","10.0049","0.68800"
"2006-06-26","26 Jun 2006","10.0536","0.69010"
"2006-06-27","27 Jun 2006","10.0525","0.69070"
"2006-06-28","28 Jun 2006","10.0554","0.69035"
"2006-06-29","29 Jun 2006","10.0233","0.69110"
